$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,
0.5,0,0,0,13.03,18.11,15.91,13.99,11.37,13.79,24.92,29.45,31.16,30.48,33.95,39.22,38.18,37.29,39.44,39.76,39.7,39.91,34.23,38.51,40.06,39.98,39.87,39.87,39.89,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,15,13.5
0.5,0,0,0,0,13.5,10.27,8.62,7.31,10,17.35,21.72,23.92,25.83,29.27,37.14,36.16,34.56,37.93,38.8,39.28,39.85,34.23,38.51,40.06,39.98,39.87,39.87,39.79,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,16,13
0.5,0,0,0,0,0,0,0,0,0,10.33,13.85,16.62,18.99,23.48,32.1,32.62,30.31,34.72,36.34,38.9,39.78,34.23,38.51,40.03,39.98,39.87,39.87,39.71,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,17,12.5
0.5,0,0,0,0,0,0,0,0,0,0,0,11.11,11.13,17.29,22.88,29.63,25.78,31.55,33.06,37.87,39.71,34.16,38.37,39.81,39.89,39.87,39.87,39.57,39.77,39.81,39.9,39.9,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,18,12
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,16.47,25.1,21.94,27.59,28.81,36.41,39.59,33.79,37.78,39.26,39.57,39.87,39.87,39.4,39.77,39.81,39.9,39.86,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,19,11.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13,18.75,18.09,23.03,25.52,33.97,38.51,32.44,36.42,38.23,38.92,39.64,39.8,39.18,39.77,39.79,39.9,39.8,39.98,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,20,11
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,14.34,18.6,21.9,30.59,33.23,29.91,33.77,36.72,37.83,37.81,39.46,38.79,39.74,39.74,39.88,39.66,39.96,39.52,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,21,10.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,13.99,17.64,26.52,28.58,26.15,30.51,34.51,36.47,35.54,38.92,38.21,39.27,39.46,39.83,39.39,39.85,39.29,39.73,39.68,39.84,39.56,39.93,39.81,39.96,39.93,0,22,10
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.3,21.14,24.47,21.49,27,30.65,34.54,33.82,37.77,37.45,38.21,38.63,39.7,38.93,39.48,38.99,39.7,39.68,39.84,39.34,39.93,39.81,39.96,39.93,0,23,9.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,16.45,19.91,18.29,23.39,26.03,32.24,31.42,35.65,36.3,36.36,37.57,39.32,37.7,38.62,38.65,39.42,39.6,39.84,39.08,39.93,39.81,39.96,39.93,0,24,9
