$Concentration file,
,
JDAY,NH4
120,4.5
121,4.5
122,4.5
123,4.5
124,4.5
125,4.5
126,4.5
127,4.5
128,4.5
129,4.5
130,4.5
131,4.5
132,4.5
133,4.5
134,4.5
135,4.5
136,4.5
137,4.5
